Generating SQLite file /home/ubuntu/demographic-bench/cuda-readback-diagnostic/nsys/workers-4/trace.sqlite from /home/ubuntu/demographic-bench/cuda-readback-diagnostic/nsys/workers-4/trace.nsys-rep
Processing [/home/ubuntu/demographic-bench/cuda-readback-diagnostic/nsys/workers-4/trace.sqlite] with [/opt/nvidia/nsight-systems/2024.6.2/host-linux-x64/reports/cuda_kern_exec_sum.py]... 
PID,TID,DevId,Count,QCount,TAvg (ns),TMed (ns),TMin (ns),TMax (ns),TStdDev (ns),AAvg (ns),AMed (ns),AMin (ns),AMax (ns),AStdDev (ns),QAvg (ns),QMed (ns),QMin (ns),QMax (ns),QStdDev (ns),KAvg (ns),KMed (ns),KMin (ns),KMax (ns),KStdDev (ns),API Name,Kernel Name
23889,23908,0,24,24,26869178.5,27476208.0,17088664,32461100,4233970.3,7948.0,7862.5,5709,11068,1314.0,26858347.6,27462628.5,17077443,32448477,4234113.6,2882.8,1872.0,1185,6272,1669.7,cuLaunchKernel,sembla_validate_claim_compatibility
23889,23909,0,240,240,26353396.8,26856009.0,19656537,31463927,2840826.9,7231.4,6299.0,3675,29516,3231.5,26279224.0,26794473.0,19440042,31414660,2847177.5,66941.4,43969.5,40257,255239,61342.2,cuLaunchKernel,sembla_mark_effect_active
23889,23910,0,96,96,26161948.3,27506811.5,19168946,32792314,3867535.8,7500.5,7191.0,4367,21683,2531.8,26026576.1,27362365.0,19037916,32655945,3867471.4,127871.8,126307.5,122819,164612,5104.2,cuLaunchKernel,sembla_validate_effects
23889,23907,0,24,24,25867253.0,30093888.5,8961071,35949802,9422631.2,20026.8,7897.0,4637,93572,26938.1,25673982.8,29913757.5,8786098,35765332,9407747.5,173243.5,168117.0,165221,289192,24737.7,cuLaunchKernel,sembla_transition_00000008
23889,23908,0,24,24,25327000.6,26441236.0,10160071,31938908,6302622.0,83691.6,8768.0,6330,704171,177990.4,25074428.4,26201870.5,9986254,31656595,6247602.2,168880.6,167812.5,165284,190598,4953.7,cuLaunchKernel,sembla_transition_00000009
23889,23909,0,24,24,25237902.0,26291501.0,18516738,29517039,3276860.7,8811.0,8433.0,6009,12920,1936.4,24315731.5,25369470.5,17606219,28590958,3274106.3,913359.4,914280.5,898841,920313,4916.5,cuLaunchKernel,sembla_resolve_conflicts
23889,23910,0,24,24,24992979.0,28101258.0,9001532,33006816,6295538.6,50706.6,6519.0,5167,731804,156839.7,24766047.6,27917230.0,8818688,32825211,6310772.3,176224.8,176437.0,171397,180869,2097.8,cuLaunchKernel,sembla_transition_00000007
23889,23910,0,240,240,24947302.3,26086126.0,17747774,32999614,4333402.7,7445.0,6525.0,4066,38359,4159.6,24868397.9,25994749.5,17537175,32951181,4336092.7,71459.5,44833.0,40257,277607,63369.2,cuLaunchKernel,sembla_mark_effect_active
23889,23910,0,24,24,24799529.9,27482571.5,10275958,32133685,6992715.8,79000.8,16835.5,5750,769321,160825.1,24551768.5,27280989.0,10099385,31834432,6958078.3,168760.6,168516.5,165572,181573,3158.6,cuLaunchKernel,sembla_transition_00000008
23889,23909,0,24,24,24348359.8,25468489.5,17437935,28602974,3370147.7,8385.3,7666.5,5629,23195,3336.3,23942019.7,25065505.5,17030974,28196618,3368688.4,397954.9,397227.0,394219,406187,3202.3,cuLaunchKernel,sembla_reduce_claim_instances
