year,sex,age_band,rate_per_1000
2023,male,25-29,0.6
2023,male,30-34,0.7
2023,male,35-39,1.0
2023,male,40-44,1.5
2023,male,45-49,2.2
2023,male,5-9,0.1
2023,male,50-54,3.3
2023,male,55-59,4.9
2023,male,60-64,7.3
2023,male,65-69,11.6
2023,male,70-74,17.9
2023,male,75-79,30.0
2023,male,80-84,56.2
2023,male,85-89,104.1
2023,male,90-94,190.0
2023,male,95-99,297.8
2024,female,0-4,0.7
2024,female,10-14,0.1
2024,female,100+,452.6
2024,female,15-19,0.2
2024,female,20-24,0.3
2024,female,25-29,0.3
2024,female,30-34,0.4
2024,female,35-39,0.5
2024,female,40-44,0.8
2024,female,45-49,1.2
2024,female,5-9,0.1
2024,female,50-54,2.0
2024,female,55-59,2.9
2024,female,60-64,4.4
2024,female,65-69,6.8
2024,female,70-74,10.8
2024,female,75-79,19.6
2024,female,80-84,38.2
2024,female,85-89,78.0
2024,female,90-94,155.8
2024,female,95-99,276.3
2024,male,0-4,0.8
2024,male,10-14,0.1
2024,male,100+,401.3
2024,male,15-19,0.3
2024,male,20-24,0.5
2024,male,25-29,0.7
2024,male,30-34,0.8
2024,male,35-39,1.0
2024,male,40-44,1.5
2024,male,45-49,2.2
2024,male,5-9,0.1
2024,male,50-54,3.2
2024,male,55-59,5.0
2024,male,60-64,7.5
2024,male,65-69,11.2
2024,male,70-74,18.1
2024,male,75-79,29.2
2024,male,80-84,54.4
2024,male,85-89,102.8
2024,male,90-94,189.2
2024,male,95-99,294.3
