year,state,sex,age,persons
2010,qld,male,52,28283
2010,qld,male,53,27822
2010,qld,male,54,27629
2010,qld,male,55,26839
2010,qld,male,56,25939
2010,qld,male,57,26024
2010,qld,male,58,25510
2010,qld,male,59,25079
2010,qld,male,60,24816
2010,qld,male,61,24398
2010,qld,male,62,24544
2010,qld,male,63,25463
2010,qld,male,64,21597
2010,qld,male,65,20932
2010,qld,male,66,19531
2010,qld,male,67,17519
2010,qld,male,68,17327
2010,qld,male,69,15977
2010,qld,male,70,15291
2010,qld,male,71,14148
2010,qld,male,72,13223
2010,qld,male,73,12467
2010,qld,male,74,11591
2010,qld,male,75,10419
2010,qld,male,76,9634
2010,qld,male,77,9220
2010,qld,male,78,8833
2010,qld,male,79,8492
2010,qld,male,80,7969
2010,qld,male,81,7255
2010,qld,male,82,6532
2010,qld,male,83,5894
2010,qld,male,84,5322
2010,qld,male,85,4653
2010,qld,male,86,3906
2010,qld,male,87,3260
2010,qld,male,88,2849
2010,qld,male,89,2331
2010,qld,male,90,1832
2010,qld,male,91,1228
2010,qld,male,92,935
2010,qld,male,93,761
2010,qld,male,94,519
2010,qld,male,95,380
2010,qld,male,96,294
2010,qld,male,97,165
2010,qld,male,98,100
2010,qld,male,99,59
2010,qld,male,100,88
2010,sa,female,0,9487
2010,sa,female,1,9655
2010,sa,female,2,9623
2010,sa,female,3,9509
2010,sa,female,4,9269
2010,sa,female,5,9254
2010,sa,female,6,9053
2010,sa,female,7,9125
2010,sa,female,8,9167
2010,sa,female,9,9303
2010,sa,female,10,9439
2010,sa,female,11,9710
2010,sa,female,12,9645
2010,sa,female,13,9774
2010,sa,female,14,9892
2010,sa,female,15,10035
2010,sa,female,16,10076
2010,sa,female,17,10321
2010,sa,female,18,10601
2010,sa,female,19,10783
2010,sa,female,20,11306
2010,sa,female,21,11127
2010,sa,female,22,11097
2010,sa,female,23,11159
2010,sa,female,24,11275
2010,sa,female,25,11073
2010,sa,female,26,11147
2010,sa,female,27,10976
2010,sa,female,28,10634
2010,sa,female,29,10456
2010,sa,female,30,10076
2010,sa,female,31,9854
2010,sa,female,32,9810
2010,sa,female,33,10035
2010,sa,female,34,9921
2010,sa,female,35,10076
2010,sa,female,36,10366
2010,sa,female,37,10881
2010,sa,female,38,11603
2010,sa,female,39,11836
2010,sa,female,40,11497
2010,sa,female,41,11427
2010,sa,female,42,11171
2010,sa,female,43,10997
2010,sa,female,44,11220
2010,sa,female,45,11391
2010,sa,female,46,11579
2010,sa,female,47,11720
2010,sa,female,48,11888
2010,sa,female,49,11974
2010,sa,female,50,11700
2010,sa,female,51,11638
2010,sa,female,52,11189
2010,sa,female,53,11227
2010,sa,female,54,10996
2010,sa,female,55,10618
2010,sa,female,56,10606
2010,sa,female,57,10518
2010,sa,female,58,10267
2010,sa,female,59,10267
2010,sa,female,60,9992
2010,sa,female,61,9734
2010,sa,female,62,9822
2010,sa,female,63,10395
2010,sa,female,64,8763
2010,sa,female,65,8457
2010,sa,female,66,7910
2010,sa,female,67,7360
2010,sa,female,68,7038
2010,sa,female,69,6548
2010,sa,female,70,6493
2010,sa,female,71,6425
2010,sa,female,72,6071
2010,sa,female,73,5916
2010,sa,female,74,5631
2010,sa,female,75,5341
2010,sa,female,76,5187
2010,sa,female,77,5062
2010,sa,female,78,4958
2010,sa,female,79,5143
2010,sa,female,80,4913
2010,sa,female,81,4800
2010,sa,female,82,4639
2010,sa,female,83,4460
2010,sa,female,84,4238
2010,sa,female,85,3938
2010,sa,female,86,3448
2010,sa,female,87,3210
2010,sa,female,88,2895
2010,sa,female,89,2440
2010,sa,female,90,1902
2010,sa,female,91,1421
2010,sa,female,92,1240
2010,sa,female,93,1005
2010,sa,female,94,760
2010,sa,female,95,649
2010,sa,female,96,467
2010,sa,female,97,346
2010,sa,female,98,223
2010,sa,female,99,156
2010,sa,female,100,242
2010,sa,male,0,10182
2010,sa,male,1,10056
2010,sa,male,2,9932
2010,sa,male,3,9719
2010,sa,male,4,9845
2010,sa,male,5,9552
2010,sa,male,6,9708
2010,sa,male,7,9451
2010,sa,male,8,9612
2010,sa,male,9,9622
2010,sa,male,10,10017
2010,sa,male,11,10069
2010,sa,male,12,10052
2010,sa,male,13,10124
2010,sa,male,14,10472
2010,sa,male,15,10775
2010,sa,male,16,10497
2010,sa,male,17,10826
2010,sa,male,18,11068
2010,sa,male,19,11378
2010,sa,male,20,11907
2010,sa,male,21,11998
2010,sa,male,22,11621
2010,sa,male,23,11713
2010,sa,male,24,11770
2010,sa,male,25,11741
2010,sa,male,26,11741
2010,sa,male,27,11406
2010,sa,male,28,10911
2010,sa,male,29,10640
2010,sa,male,30,10284
2010,sa,male,31,10177
2010,sa,male,32,9929
2010,sa,male,33,10102
2010,sa,male,34,10063
2010,sa,male,35,10281
2010,sa,male,36,10373
2010,sa,male,37,10843
2010,sa,male,38,11503
2010,sa,male,39,11917
2010,sa,male,40,11569
2010,sa,male,41,11498
2010,sa,male,42,11236
2010,sa,male,43,10980
2010,sa,male,44,11123
2010,sa,male,45,11267
2010,sa,male,46,11596
2010,sa,male,47,11624
2010,sa,male,48,11589
2010,sa,male,49,11860
2010,sa,male,50,11431
2010,sa,male,51,11329
2010,sa,male,52,11120
2010,sa,male,53,10813
2010,sa,male,54,10703
2010,sa,male,55,10614
2010,sa,male,56,10165
2010,sa,male,57,10189
2010,sa,male,58,9782
2010,sa,male,59,9763
2010,sa,male,60,9794
2010,sa,male,61,9525
2010,sa,male,62,9416
2010,sa,male,63,10106
2010,sa,male,64,8376
2010,sa,male,65,8002
2010,sa,male,66,7587
2010,sa,male,67,7006
2010,sa,male,68,6734
2010,sa,male,69,6189
2010,sa,male,70,6036
2010,sa,male,71,5946
2010,sa,male,72,5541
2010,sa,male,73,5367
2010,sa,male,74,4964
2010,sa,male,75,4617
2010,sa,male,76,4562
2010,sa,male,77,4307
2010,sa,male,78,4053
2010,sa,male,79,3979
2010,sa,male,80,3947
2010,sa,male,81,3667
2010,sa,male,82,3440
2010,sa,male,83,3068
2010,sa,male,84,2830
2010,sa,male,85,2405
2010,sa,male,86,2044
2010,sa,male,87,1746
2010,sa,male,88,1453
2010,sa,male,89,1212
2010,sa,male,90,947
2010,sa,male,91,647
2010,sa,male,92,507
2010,sa,male,93,381
2010,sa,male,94,287
2010,sa,male,95,190
2010,sa,male,96,122
2010,sa,male,97,88
2010,sa,male,98,59
2010,sa,male,99,37
2010,sa,male,100,53
2010,tas,female,0,3073
2010,tas,female,1,3201
2010,tas,female,2,3164
2010,tas,female,3,3187
2010,tas,female,4,3091
2010,tas,female,5,2956
2010,tas,female,6,2891
2010,tas,female,7,2942
2010,tas,female,8,3044
2010,tas,female,9,3081
2010,tas,female,10,3173
2010,tas,female,11,3275
2010,tas,female,12,3112
2010,tas,female,13,3285
2010,tas,female,14,3284
2010,tas,female,15,3367
2010,tas,female,16,3243
2010,tas,female,17,3298
2010,tas,female,18,3266
2010,tas,female,19,3330
2010,tas,female,20,3166
2010,tas,female,21,3201
2010,tas,female,22,3147
2010,tas,female,23,3110
2010,tas,female,24,3076
2010,tas,female,25,3136
2010,tas,female,26,3028
2010,tas,female,27,2917
2010,tas,female,28,3035
2010,tas,female,29,3019
2010,tas,female,30,2857
2010,tas,female,31,2888
2010,tas,female,32,2883
2010,tas,female,33,2771
2010,tas,female,34,2929
2010,tas,female,35,3122
2010,tas,female,36,3169
2010,tas,female,37,3362
2010,tas,female,38,3612
2010,tas,female,39,3687
2010,tas,female,40,3509
2010,tas,female,41,3577
2010,tas,female,42,3426
2010,tas,female,43,3404
2010,tas,female,44,3332
2010,tas,female,45,3482
2010,tas,female,46,3704
