year,state,sex,age_band,deaths
2012,nt,female,90-94,20
2012,nt,female,95-99,3
2012,nt,female,not_stated,0
2012,nt,male,0-4,22
2012,nt,male,10-14,1
2012,nt,male,100+,0
2012,nt,male,15-19,16
2012,nt,male,20-24,20
2012,nt,male,25-29,28
2012,nt,male,30-34,17
2012,nt,male,35-39,24
2012,nt,male,40-44,44
2012,nt,male,45-49,45
2012,nt,male,5-9,2
2012,nt,male,50-54,57
2012,nt,male,55-59,64
2012,nt,male,60-64,59
2012,nt,male,65-69,53
2012,nt,male,70-74,54
2012,nt,male,75-79,58
2012,nt,male,80-84,53
2012,nt,male,85-89,24
2012,nt,male,90-94,8
2012,nt,male,95-99,0
2012,nt,male,not_stated,0
2012,qld,female,0-4,159
2012,qld,female,10-14,13
2012,qld,female,100+,195
2012,qld,female,15-19,41
2012,qld,female,20-24,50
2012,qld,female,25-29,65
2012,qld,female,30-34,81
2012,qld,female,35-39,99
2012,qld,female,40-44,144
2012,qld,female,45-49,230
2012,qld,female,5-9,12
2012,qld,female,50-54,324
2012,qld,female,55-59,411
2012,qld,female,60-64,624
2012,qld,female,65-69,758
2012,qld,female,70-74,940
2012,qld,female,75-79,1301
2012,qld,female,80-84,2040
2012,qld,female,85-89,2695
2012,qld,female,90-94,2321
2012,qld,female,95-99,952
2012,qld,female,not_stated,0
2012,qld,male,0-4,179
2012,qld,male,10-14,25
2012,qld,male,100+,42
2012,qld,male,15-19,80
2012,qld,male,20-24,114
2012,qld,male,25-29,157
2012,qld,male,30-34,132
2012,qld,male,35-39,191
2012,qld,male,40-44,261
2012,qld,male,45-49,348
2012,qld,male,5-9,11
2012,qld,male,50-54,492
2012,qld,male,55-59,722
2012,qld,male,60-64,1009
2012,qld,male,65-69,1339
2012,qld,male,70-74,1566
2012,qld,male,75-79,1953
2012,qld,male,80-84,2332
2012,qld,male,85-89,2208
2012,qld,male,90-94,1267
2012,qld,male,95-99,417
2012,qld,male,not_stated,0
2012,sa,female,0-4,38
2012,sa,female,10-14,3
2012,sa,female,100+,111
2012,sa,female,15-19,8
2012,sa,female,20-24,16
2012,sa,female,25-29,17
2012,sa,female,30-34,20
2012,sa,female,35-39,42
2012,sa,female,40-44,61
2012,sa,female,45-49,79
2012,sa,female,5-9,2
2012,sa,female,50-54,124
2012,sa,female,55-59,176
2012,sa,female,60-64,240
2012,sa,female,65-69,318
2012,sa,female,70-74,385
2012,sa,female,75-79,641
2012,sa,female,80-84,1013
2012,sa,female,85-89,1492
2012,sa,female,90-94,1288
2012,sa,female,95-99,576
2012,sa,female,not_stated,0
2012,sa,male,0-4,42
2012,sa,male,10-14,4
2012,sa,male,100+,21
2012,sa,male,15-19,28
2012,sa,male,20-24,27
2012,sa,male,25-29,45
2012,sa,male,30-34,49
2012,sa,male,35-39,70
2012,sa,male,40-44,112
2012,sa,male,45-49,159
2012,sa,male,5-9,3
2012,sa,male,50-54,243
2012,sa,male,55-59,278
2012,sa,male,60-64,394
2012,sa,male,65-69,467
2012,sa,male,70-74,565
2012,sa,male,75-79,767
2012,sa,male,80-84,1122
2012,sa,male,85-89,1235
2012,sa,male,90-94,694
2012,sa,male,95-99,200
2012,sa,male,not_stated,0
2012,tas,female,0-4,10
2012,tas,female,10-14,3
