period_start,period_end,state,sex,age,qx
2018,2020,qld,female,89,0.09693
2018,2020,qld,female,90,0.10984
2018,2020,qld,female,91,0.12406
2018,2020,qld,female,92,0.13873
2018,2020,qld,female,93,0.15425
2018,2020,qld,female,94,0.17073
2018,2020,qld,female,95,0.18737
2018,2020,qld,female,96,0.20769
2018,2020,qld,female,97,0.23039
2018,2020,qld,female,98,0.24797
2018,2020,qld,female,99,0.26402
2018,2020,qld,female,100,0.27981
2018,2020,qld,male,0,0.00427
2018,2020,qld,male,1,0.00027
2018,2020,qld,male,2,0.00019
2018,2020,qld,male,3,0.00015
2018,2020,qld,male,4,0.00012
2018,2020,qld,male,5,0.0001
2018,2020,qld,male,6,0.00008
2018,2020,qld,male,7,0.00007
2018,2020,qld,male,8,0.00006
2018,2020,qld,male,9,0.00006
2018,2020,qld,male,10,0.00007
2018,2020,qld,male,11,0.00008
2018,2020,qld,male,12,0.0001
2018,2020,qld,male,13,0.00014
2018,2020,qld,male,14,0.0002
2018,2020,qld,male,15,0.00028
2018,2020,qld,male,16,0.00038
2018,2020,qld,male,17,0.00048
2018,2020,qld,male,18,0.00057
2018,2020,qld,male,19,0.00064
2018,2020,qld,male,20,0.00069
2018,2020,qld,male,21,0.00073
2018,2020,qld,male,22,0.00075
2018,2020,qld,male,23,0.00077
2018,2020,qld,male,24,0.00078
2018,2020,qld,male,25,0.0008
2018,2020,qld,male,26,0.00081
2018,2020,qld,male,27,0.00083
2018,2020,qld,male,28,0.00086
2018,2020,qld,male,29,0.00088
2018,2020,qld,male,30,0.00091
2018,2020,qld,male,31,0.00095
2018,2020,qld,male,32,0.00099
2018,2020,qld,male,33,0.00103
2018,2020,qld,male,34,0.00108
2018,2020,qld,male,35,0.00115
2018,2020,qld,male,36,0.00121
2018,2020,qld,male,37,0.00127
2018,2020,qld,male,38,0.00134
2018,2020,qld,male,39,0.00141
2018,2020,qld,male,40,0.00147
2018,2020,qld,male,41,0.00154
2018,2020,qld,male,42,0.00162
2018,2020,qld,male,43,0.00171
2018,2020,qld,male,44,0.00184
2018,2020,qld,male,45,0.00198
2018,2020,qld,male,46,0.00214
2018,2020,qld,male,47,0.00231
2018,2020,qld,male,48,0.00249
2018,2020,qld,male,49,0.00268
2018,2020,qld,male,50,0.00288
2018,2020,qld,male,51,0.0031
2018,2020,qld,male,52,0.00336
2018,2020,qld,male,53,0.00365
2018,2020,qld,male,54,0.00398
2018,2020,qld,male,55,0.00435
2018,2020,qld,male,56,0.00475
2018,2020,qld,male,57,0.0052
2018,2020,qld,male,58,0.00568
2018,2020,qld,male,59,0.00619
2018,2020,qld,male,60,0.00674
2018,2020,qld,male,61,0.00731
2018,2020,qld,male,62,0.00793
2018,2020,qld,male,63,0.00859
2018,2020,qld,male,64,0.00927
2018,2020,qld,male,65,0.01001
2018,2020,qld,male,66,0.01082
