year,state,sex,age_band,rate_per_1000,status
2011,sa,male,10-14,0.0,published
2011,sa,male,100+,431.2,published
2011,sa,male,15-19,0.4,published
2011,sa,male,20-24,0.6,published
2011,sa,male,25-29,0.9,published
2011,sa,male,30-34,1.1,published
2011,sa,male,35-39,1.4,published
2011,sa,male,40-44,1.8,published
2011,sa,male,45-49,2.3,published
2011,sa,male,5-9,0.1,published
2011,sa,male,50-54,3.9,published
2011,sa,male,55-59,5.7,published
2011,sa,male,60-64,8.5,published
2011,sa,male,65-69,11.8,published
2011,sa,male,70-74,20.1,published
2011,sa,male,75-79,36.1,published
2011,sa,male,80-84,67.2,published
2011,sa,male,85-89,116.2,published
2011,sa,male,90-94,206.4,published
2011,sa,male,95-99,364.0,published
2011,tas,female,0-4,0.8,published
2011,tas,female,10-14,0.0,published
2011,tas,female,100+,386.0,published
2011,tas,female,15-19,0.1,published
2011,tas,female,20-24,0.4,published
2011,tas,female,25-29,0.1,published
2011,tas,female,30-34,0.8,published
2011,tas,female,35-39,1.0,published
2011,tas,female,40-44,1.1,published
2011,tas,female,45-49,1.5,published
2011,tas,female,5-9,0.1,published
2011,tas,female,50-54,1.9,published
2011,tas,female,55-59,2.9,published
2011,tas,female,60-64,6.0,published
2011,tas,female,65-69,10.7,published
2011,tas,female,70-74,15.2,published
2011,tas,female,75-79,27.4,published
2011,tas,female,80-84,55.6,published
2011,tas,female,85-89,100.8,published
2011,tas,female,90-94,184.7,published
2011,tas,female,95-99,334.8,published
2011,tas,male,0-4,1.2,published
2011,tas,male,10-14,0.2,published
2011,tas,male,100+,437.5,published
2011,tas,male,15-19,0.5,published
2011,tas,male,20-24,0.8,published
2011,tas,male,25-29,0.6,published
2011,tas,male,30-34,1.1,published
2011,tas,male,35-39,1.5,published
2011,tas,male,40-44,1.8,published
2011,tas,male,45-49,2.5,published
2011,tas,male,5-9,0.0,published
2011,tas,male,50-54,3.0,published
2011,tas,male,55-59,6.6,published
2011,tas,male,60-64,8.8,published
2011,tas,male,65-69,14.4,published
2011,tas,male,70-74,24.1,published
2011,tas,male,75-79,40.7,published
2011,tas,male,80-84,74.6,published
2011,tas,male,85-89,125.0,published
2011,tas,male,90-94,237.3,published
2011,tas,male,95-99,391.9,published
2011,vic,female,0-4,0.7,published
2011,vic,female,10-14,0.1,published
2011,vic,female,100+,416.3,published
2011,vic,female,15-19,0.2,published
2011,vic,female,20-24,0.2,published
2011,vic,female,25-29,0.3,published
2011,vic,female,30-34,0.4,published
2011,vic,female,35-39,0.6,published
2011,vic,female,40-44,0.9,published
2011,vic,female,45-49,1.3,published
2011,vic,female,5-9,0.1,published
2011,vic,female,50-54,2.2,published
2011,vic,female,55-59,2.8,published
2011,vic,female,60-64,4.7,published
2011,vic,female,65-69,6.8,published
2011,vic,female,70-74,12.9,published
2011,vic,female,75-79,22.3,published
2011,vic,female,80-84,44.4,published
2011,vic,female,85-89,91.5,published
2011,vic,female,90-94,169.2,published
2011,vic,female,95-99,295.6,published
2011,vic,male,0-4,1.0,published
2011,vic,male,10-14,0.1,published
2011,vic,male,100+,523.5,published
2011,vic,male,15-19,0.3,published
2011,vic,male,20-24,0.6,published
2011,vic,male,25-29,0.7,published
2011,vic,male,30-34,0.8,published
2011,vic,male,35-39,1.0,published
2011,vic,male,40-44,1.3,published
2011,vic,male,45-49,2.1,published
2011,vic,male,5-9,0.1,published
2011,vic,male,50-54,3.0,published
2011,vic,male,55-59,4.7,published
2011,vic,male,60-64,7.6,published
2011,vic,male,65-69,12.4,published
2011,vic,male,70-74,20.6,published
2011,vic,male,75-79,36.6,published
2011,vic,male,80-84,66.8,published
2011,vic,male,85-89,123.8,published
2011,vic,male,90-94,212.1,published
2011,vic,male,95-99,348.9,published
2011,wa,female,0-4,0.7,published
2011,wa,female,10-14,0.2,published
2011,wa,female,100+,495.6,published
2011,wa,female,15-19,0.3,published
2011,wa,female,20-24,0.4,published
2011,wa,female,25-29,0.3,published
2011,wa,female,30-34,0.3,published
2011,wa,female,35-39,0.7,published
2011,wa,female,40-44,0.9,published
2011,wa,female,45-49,1.4,published
2011,wa,female,5-9,0.1,published
2011,wa,female,50-54,2.1,published
2011,wa,female,55-59,2.9,published
2011,wa,female,60-64,4.0,published
2011,wa,female,65-69,6.6,published
2011,wa,female,70-74,11.6,published
2011,wa,female,75-79,19.3,published
2011,wa,female,80-84,42.1,published
2011,wa,female,85-89,83.1,published
2011,wa,female,90-94,157.1,published
2011,wa,female,95-99,270.8,published
2011,wa,male,0-4,0.8,published
2011,wa,male,10-14,0.0,published
2011,wa,male,100+,278.7,published
2011,wa,male,15-19,0.6,published
2011,wa,male,20-24,0.7,published
2011,wa,male,25-29,0.9,published
2011,wa,male,30-34,1.0,published
2011,wa,male,35-39,1.3,published
2011,wa,male,40-44,1.5,published
2011,wa,male,45-49,2.5,published
2011,wa,male,5-9,0.2,published
2011,wa,male,50-54,3.3,published
2011,wa,male,55-59,5.1,published
2011,wa,male,60-64,7.1,published
2011,wa,male,65-69,11.3,published
2011,wa,male,70-74,20.0,published
2011,wa,male,75-79,37.1,published
2011,wa,male,80-84,63.5,published
2011,wa,male,85-89,113.3,published
2011,wa,male,90-94,191.6,published
