beta,gamma
0.76423567533493042,0.11029364168643951
0.82370036840438843,0.11028856784105301
0.77356338500976562,0.11970920115709305
0.78345149755477905,0.10046842694282532
0.75808465480804443,0.097467660903930664
0.84734839200973511,0.10989566147327423
0.81275695562362671,0.11535177379846573
0.72972500324249268,0.09464031457901001
0.90581780672073364,0.11457561701536179
0.73298454284667969,0.092298306524753571
0.72347342967987061,0.096489764750003815
0.87114518880844116,0.11690099537372589
0.82886117696762085,0.10420788824558258
0.82186651229858398,0.11851444840431213
0.7714691162109375,0.099644981324672699
0.75901246070861816,0.095341205596923828
0.86696809530258179,0.10987692326307297
0.80161893367767334,0.10954081267118454
0.67202842235565186,0.10984804481267929
0.83924919366836548,0.10693053156137466
0.7346416711807251,0.10215084999799728
0.74230939149856567,0.12426312267780304
0.77239996194839478,0.11121892184019089
0.69298392534255981,0.11373885720968246
0.82449191808700562,0.11738337576389313
0.94824397563934326,0.13760681450366974
0.82029205560684204,0.10815834254026413
0.8217005729675293,0.095702201128005981
0.81787902116775513,0.11011551320552826
0.92196142673492432,0.12064211070537567
0.82132202386856079,0.11575590819120407
0.75654220581054688,0.10807572305202484
0.73239165544509888,0.10422016680240631
0.79358243942260742,0.10962939262390137
0.94619965553283691,0.11318563669919968
0.78324097394943237,0.10029963403940201
0.85375547409057617,0.10112856328487396
0.84987491369247437,0.093005038797855377
0.81631255149841309,0.11255208402872086
0.69557607173919678,0.08009745180606842
0.90978068113327026,0.1084795743227005
0.82383370399475098,0.12537349760532379
0.84934335947036743,0.10232364386320114
0.83950531482696533,0.10648104548454285
0.84203296899795532,0.097297936677932739
0.84033459424972534,0.11418997496366501
0.94609647989273071,0.11282994598150253
0.80351346731185913,0.10607454180717468
0.74794512987136841,0.11945416033267975
0.80374395847320557,0.11637399345636368
0.79102742671966553,0.10236117988824844
0.81054699420928955,0.09972931444644928
0.84985631704330444,0.11248990893363953
0.85135501623153687,0.10758551210165024
0.90232795476913452,0.11478600651025772
0.75812804698944092,0.1093047633767128
0.86819225549697876,0.11417704820632935
0.77112412452697754,0.1047690287232399
0.89992600679397583,0.15361103415489197
0.81088650226593018,0.11186537146568298
0.83200216293334961,0.11919908225536346
0.8162921667098999,0.10645295679569244
0.78330767154693604,0.095170550048351288
0.72328639030456543,0.10936671495437622
0.75894355773925781,0.10916317254304886
0.79430168867111206,0.11272547394037247
0.80505138635635376,0.10625089704990387
0.75911957025527954,0.089628078043460846
0.85443717241287231,0.12622040510177612
0.80239236354827881,0.11745169013738632
0.76891714334487915,0.10835084319114685
0.81823962926864624,0.095659360289573669
0.77452677488327026,0.10153747349977493
0.79036426544189453,0.13849452137947083
0.83343160152435303,0.11262349039316177
0.76827365159988403,0.11556065082550049
0.8185349702835083,0.12006615847349167
0.95943433046340942,0.12623536586761475
0.81269627809524536,0.12892055511474609
0.73266226053237915,0.11414230614900589
0.84383529424667358,0.10871931910514832
0.80934762954711914,0.093144513666629791
0.78736168146133423,0.092298902571201324
0.80729788541793823,0.11335365474224091
0.75079548358917236,0.093798361718654633
0.77822309732437134,0.095397032797336578
0.78372734785079956,0.11911080032587051
0.7556951642036438,0.10819941759109497
0.80557769536972046,0.10478351265192032
0.7969396710395813,0.096465721726417542
